nama_opd,nama_jabatan,kelas_jabatan,jumlah_pegawai_terdampak
"Dinas Pendidikan","Guru Ahli Pertama",,3145
,"Guru Ahli Pertama",,1586
"Dinas Pendidikan","Guru Ahli Muda",,914
"Dinas Pendidikan","Guru Ahli Madya",,911
"Dinas Pendidikan","PENGELOLA UMUM OPERASIONAL",,174
"Dinas Pendidikan","PENGADMINISTRASI PERKANTORAN",,172
"Dinas Kesehatan","Perawat Terampil",,152
"Dinas Kesehatan","Bidan Terampil",,122
"Dinas Kesehatan","Bidan Penyelia",,115
"Dinas Pendidikan","OPERATOR LAYANAN OPERASIONAL",,68
,"BIDAN TERAMPIL",,57
"Dinas Kesehatan","Bidan Mahir",,52
"Dinas Kesehatan","Perawat Penyelia",,51
"RSUD Ngudi Waluyo Wlingi","Perawat Penyelia",,51
"Dinas Pendidikan","Guru Muda",,40
"Dinas Kesehatan","Bidan Pelaksana Lanjutan / Mahir",,40
"Dinas Perindustrian dan Perdagangan","OPERATOR LAYANAN OPERASIONAL",,37
"Dinas Pendidikan","Guru Madya",,32
"Dinas Kesehatan","Perekam Medis Terampil",,32
"RSUD Ngudi Waluyo Wlingi","Perawat Terampil",,30
"RSUD Ngudi Waluyo Wlingi","PENGADMINISTRASI PERKANTORAN",,30
"RSUD Srengat","Perawat Terampil",,29
"Dinas Kesehatan","PENGADMINISTRASI PERKANTORAN",,29
,"PERAWAT TERAMPIL",,28
"Dinas Kesehatan","PENATA LAYANAN OPERASIONAL",,27
"Dinas Kesehatan","Nutrisionis Terampil",,25
"RSUD Ngudi Waluyo Wlingi","Perawat Ahli Muda",,24
"Dinas Kesehatan","Perawat Mahir",,24
"RSUD Ngudi Waluyo Wlingi","Perawat Ahli Pertama",,23
"RSUD Ngudi Waluyo Wlingi","OPERATOR LAYANAN KESEHATAN",,23
"RSUD Ngudi Waluyo Wlingi","PERAWAT TERAMPIL",,23
"Dinas Lingkungan Hidup","OPERATOR LAYANAN OPERASIONAL",,23
"Dinas Kesehatan","Dokter Ahli Pertama",,21
"Dinas Kesehatan","Tenaga Promosi Kesehatan dan Ilmu Perilaku Ahli Pertama",,19
"Dinas Pendidikan","Pengawas Sekolah Ahli Madya",,18
"Dinas Kesehatan","PENELAAH TEKNIS KEBIJAKAN",,18
"Dinas Kesehatan","Pranata Laboratorium Kesehatan Terampil",,18
